LCLid,Age,Sex,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,Label
wywsvwuy,40,M,12-10-19,0.1385,0.154304348,0.886,46,0.196033883,7.098,0,0
jrcc3ria,49,F,13-10-19,0.18,0.230979167,0.933,48,0.192329006,11.087,0.076,1
t1n4fbsi,37,M,14-10-19,0.158,0.275479167,1.085,48,0.274647239,13.223,0.07,0
lv3hdgxa,48,F,15-10-19,0.131,0.2136875,1.164,48,0.224483441,10.257,0.07,1
192ilyyx,54,M,16-10-19,0.145,0.203520833,0.991,48,0.184115249,9.769,0.087,0
s9vecqv9,39,M,17-10-19,0.148,0.226770833,0.784,48,0.18440857,10.885,0.067,0
u3ups8em,45,F,18-10-19,0.166,0.223979167,0.897,48,0.174245301,10.751,0.102,0
fuljgago,54,M,19-10-19,0.134,0.175645833,0.822,48,0.1222299,8.431,0.072,0
rzmomxli,37,M,20-10-19,0.231,0.362041665,1.4529999,48,0.294921544,17.3779999,0.073,1
4hph547d,48,F,21-10-19,0.385,0.510208335,2.1600001,48,0.335519231,24.4900001,0.232,0
iprkszdn,37,F,22-10-19,0.3935,0.3934375,1.126,48,0.199881551,18.885,0.094,0
v5bo9lmi,58,M,23-10-19,0.1615,0.2184375,0.671,48,0.150725749,10.485,0.07,1
3qx70bsr,39,M,24-10-19,0.186,0.323687502,1.8890001,48,0.329606039,15.5370001,0.076,0
w3737et4,49,M,25-10-19,0.176,0.2735,0.917,48,0.205546392,13.128,0.073,1
ad017zsj,42,F,26-10-19,0.1885,0.313854167,0.962,48,0.255195294,15.065,0.072,0
p1w3p80y,54,F,27-10-19,0.319,0.351791667,1.228,48,0.25632567,16.886,0.075,0
pai9avke,38,M,28-10-19,0.313,0.408937498,1.173,48,0.320672587,19.6289999,0.072,1
5fbcjhqj,43,F,29-10-19,0.1755,0.266229167,1.058,48,0.248811835,12.779,0.073,0
st9gbckr,60,M,30-10-19,0.2275,0.290854167,0.893,48,0.225779029,13.961,0.07,1
a4fce66l,36,M,31-10-19,0.2685,0.371291669,1.4450001,48,0.318377473,17.8220001,0.085,1
re8fstqw,43,F,01-11-19,0.205,0.254354167,0.964,48,0.155681274,12.209,0.127,0
gdr1dhbd,44,M,02-11-19,0.26,0.309659574,1.284,47,0.211134747,14.554,0.136,0
9lfbp7tj,49,F,03-11-19,0.2665,0.298895833,1.137,48,0.184763591,14.347,0.139,0
gymaa53i,44,M,04-11-19,0.2675,0.302229165,1.1109999,48,0.203540697,14.5069999,0.127,1
9pl7mta8,40,M,05-11-19,0.2025,0.314479165,1.0779999,48,0.239699627,15.0949999,0.132,0
scomfp4c,36,M,06-11-19,0.179,0.242979167,1.156,48,0.212056344,11.663,0.075,0
9rrjy58n,53,M,07-11-19,0.194,0.2736875,1.219,48,0.254043065,13.137,0.073,0
8o6yjxwe,52,M,08-11-19,0.186,0.186,0.186,1,,0.186,0.186,0
sysxn8qo,53,F,09-11-19,0.243,0.355787234,1.714,47,0.340889115,16.722,0.078,0
5zde0zq6,51,M,10-11-19,0.216,0.2759375,1.062,48,0.227562702,13.245,0.074,0
bifzzhi0,53,M,11-11-19,0.185,0.222895833,1.149,48,0.176689443,10.699,0.074,1
